Gene Name;Gene ID;Group;Chr;Start;End;Strand;Degree;Closeness;Betweenness;dN/dS Chimp;dN/dS Macaque;dN/dS Mouse;Tajima's D exons;Tajima's D regulatory;Fay and Wu's H exons;Fay and Wu's H regulatory
PARK7;ENSG00000116288;CM;1;8014351;8045565;1;19;0,29;6601,69;0,16;0,54;0,07;-0,82;0,862;0,00034;0,0001
COL11A1;ENSG00000060718;CM;1;103342023;103574052;-1;-;-;-;0,05;0,17;0,06;-0,46;-0,235;-0,00031;-0,00081
TAP1;ENSG00000168394;CM;6;32812986;32821755;-1;9;0,25;6041,65;0,41;0,41;0,3;-1,348;-0,859;-0,00218;-0,00069
POMC;ENSG00000115138;CM;2;25383722;25391772;-1;4;0,2;18246,65;0,14;0,08;0,07;-1,479;-0,54;0,00026;-0,00021
FOXE1;ENSG00000178919;CM;9;100615536;100618986;1;-;-;-;0,11;0,09;0,06;2,088;1,865;0,00008;0,00011
KCNJ11;ENSG00000187486;CM;11;17407406;17410878;-1;3;0,24;15474,31;0,09;0,03;0,02;0,393;1,999;0,00043;0,00019
SOD1;ENSG00000142168;CM;21;33031935;33041244;1;11;0,31;12299,19;0;0,87;0,24;-1,086;-0,904;-0,0007;-0,00036
CFH;ENSG00000000971;CM;1;196621008;196716634;1;3;0,21;11914,08;0,57;0,55;-;-0,305;0,718;-0,00085;-0,00037
GFI1;ENSG00000162676;MNC;1;92940319;92952433;-1;7;0,31;2575,98;0,27;0,14;0,11;-1,164;-0,787;0,00021;0,00004
CLN5;ENSG00000102805;MNC;13;77564795;77576652;1;1;0,24;0;0,55;0,41;0,23;-0,871;-1,481;-0,00274;-0,00068
PPT1;ENSG00000131238;MNC;1;40538379;40563375;-1;-;-;-;0,38;0,09;0,15;1,591;1,171;-0,00041;-0,00034
PKD1;ENSG00000008710;MNC;16;2138711;2185899;-1;9;0,31;39262,84;0,26;-;0,12;-1,187;-0,727;-0,00133;-0,00056
KCNQ3;ENSG00000184156;MNC;8;133133108;133493200;-1;2;0,2;47,41;0,06;0,05;0,05;0,903;0,348;0,00013;-0,0002
GBE1;ENSG00000114480;MNC;3;81538850;81811312;-1;-;-;-;0,22;0,21;0,09;-0,862;-0,282;-0,00003;0,00012
ITGB4;ENSG00000132470;MNC;17;73717408;73753899;1;8;0,26;4531,97;0,1;-;0,07;-0,95;-0,382;-0,00029;-0,00005
VAPB;ENSG00000124164;MNC;20;56964178;57026157;1;11;0,26;5240,56;0;0;0,1;-0,323;0,081;-0,00003;-0,00022
PMM2;ENSG00000140650;MNC;16;8882680;8943188;1;-;-;-;0,21;0,08;0,09;-0,528;0,388;-0,00032;-0,00036
CHRNB1;ENSG00000170175;MNC;17;7348380;7361026;1;-;-;-;0,49;0,54;0,09;0,969;0,407;0,00038;0,00009
EYA4;ENSG00000112319;MNC;6;133561736;133853258;1;-;-;-;0,28;0,11;0,05;0,008;-0,074;0,00015;-0,00018
SLC25A13;ENSG00000004864;MNC;7;95749532;95951459;-1;5;0,31;3489,39;0;0,08;0,05;0,202;0,228;0,00013;-0,00008
NR3C1;ENSG00000113580;MNC;5;142657496;142815077;-1;99;0,35;201483,97;0,77;0,33;0,15;-1,354;0,036;-0,00011;0,00004
NDUFS2;ENSG00000158864;MNC;1;161166894;161184185;1;1;0,22;0;0,34;0,19;0,11;-1,153;-0,457;0,00025;0,00008
TAPBP;ENSG00000231925;MNC;6;33267471;33282164;-1;6;0,25;858,19;0,48;0,39;0,26;0,681;0,102;0,00028;0,00011
HBG1;ENSG00000213934;MNC;11;5269313;5271122;-1;1;0,23;0;-;-;-;1,81;1,781;-0,0005;0,00002
SLC5A2;ENSG00000140675;MNC;16;31494323;31502181;1;-;-;-;0,28;0,09;0,06;-1,388;0,125;0,00002;0,00007
HAL;ENSG00000084110;MNC;12;96366440;96390143;-1;-;-;-;0,34;0,15;0,06;-0,41;0,338;-0,00041;-0,00032
CNGB3;ENSG00000170289;MNC;8;87566205;87755903;-1;-;-;-;0,17;0,37;0,43;-0,532;0,471;0,00009;-0,00011
CD4;ENSG00000010610;MNC;12;6896024;6929974;1;18;0,31;39016,59;0,59;0,51;0,51;1,323;0,661;0,00017;-0,00004
RBP4;ENSG00000138207;MNC;10;95351444;95361501;-1;1;0,22;0;0;0,19;0,1;0,373;-0,087;-0,00035;-0,00085
TTR;ENSG00000118271;MNC;18;29171689;29178974;1;15;0,28;21929,4;0,4;0,56;0,21;-0,92;-0,221;0,0001;-0,00025
VPS33B;ENSG00000184056;MNC;15;91541646;91565833;-1;1;1;0;0,13;0,21;0,03;-0,349;-0,043;-0,00073;-0,00032
TAT;ENSG00000198650;MNC;16;71599563;71611033;-1;15;0,28;13669,16;0,18;0,28;0,07;-0,567;-0,169;0,00002;0
CPOX;ENSG00000080819;MNC;3;98239976;98312567;-1;-;-;-;2,07;0,59;0,18;-0,032;1,212;0,00032;0,00021
MSX1;ENSG00000163132;MNC;4;4861393;4865663;1;11;0,27;5730,48;0;0,03;0,04;0,336;0,886;0,00072;0,00008
PEX5;ENSG00000139197;MNC;12;7341281;7371170;1;11;0,25;20273,39;0,21;0,03;0,09;0,384;1,172;0,00022;-0,00007
FLT4;ENSG00000037280;MNC;5;180028506;180076624;-1;5;0,28;11073,72;0,08;0,18;0,07;-0,712;0,122;-0,00045;-0,0012
ASPM;ENSG00000066279;MNC;1;197053258;197115824;-1;3;0,28;43,19;0,78;0,39;0,3;-0,443;-0,238;-0,0001;-0,00034
CD151;ENSG00000177697;MNC;11;832843;839831;1;6;0,31;8393,67;0;0,08;0,04;1,815;2,233;-0,00065;-0,00054
FOXC2;ENSG00000176692;MNC;16;86600857;86602539;1;1;0,22;0;0,08;0,01;0,03;-1,307;-0,058;0,00001;-0,00036
DBH;ENSG00000123454;MNC;9;136501482;136524466;1;-;-;-;0,18;0,23;0,1;-1,12;-0,025;0,00034;-0,00067
PROP1;ENSG00000175325;MNC;5;177419236;177423243;-1;1;0,26;0;0,23;-;0,28;0,549;0,103;-0,00107;-0,00006
AHCY;ENSG00000101444;MNC;20;32868074;32899608;-1;4;0,31;811,26;0;-;-;-1,445;-1,021;-0,00037;-0,00073
TF;ENSG00000091513;MNC;3;133464800;133497850;1;9;0,25;14111,66;0,3;0,5;-;-0,008;1,036;0,00016;-0,00008
CASQ2;ENSG00000118729;MNC;1;116242628;116311402;-1;1;0,16;0;0,46;0,55;0,11;1,559;1,812;0,00007;-0,00012
FOXN1;ENSG00000109101;MNC;17;26833261;26865914;1;-;-;-;0,88;0,18;0,13;0,145;-0,099;-0,00036;-0,00028
SLC35C1;ENSG00000181830;MNC;11;45825623;45834566;1;-;-;-;0,09;0,11;0,06;0,445;0,102;0,00015;0,00001
FANCG;ENSG00000221829;MNC;9;35073832;35080013;-1;35;0,28;46066,39;0,43;0,55;0,4;-0,405;-0,667;-0,00013;-0,00003
APTX;ENSG00000137074;MNC;9;32972604;33025166;-1;4;0,28;188,49;1,15;0,38;0,27;0,277;0,526;-0,00023;-0,00059
LEP;ENSG00000174697;MNC;7;127881337;127897681;1;4;0,26;4881,14;0,14;0,63;0,17;-0,832;-0,448;0,00021;-0,00014
ATCAY;ENSG00000167654;MNC;19;3879862;3928077;1;-;-;-;0,12;-;0,03;-0,89;0,084;0,00017;-0,00014
ENG;ENSG00000106991;MNC;9;130577291;130617035;-1;7;0,25;3774,7;0,13;0,24;0,26;-1,292;-0,776;-0,00084;-0,00045
MYH9;ENSG00000100345;MNC;22;36677327;36784063;-1;14;0,29;17316,4;0,12;-;0,01;-0,9;-0,045;0,00003;-0,00038
ABCC9;ENSG00000069431;MNC;12;21950335;22094336;-1;2;0,25;48,52;0,29;0,04;0,04;-0,775;0,433;0,00006;-0,00004
DDB2;ENSG00000134574;MNC;11;47236493;47260767;1;14;0,31;5835,19;0;0,14;0,25;-1,111;-0,097;0,00009;-0,00009
SLC19A2;ENSG00000117479;MNC;1;169433147;169455241;-1;-;-;-;0;0,25;0,1;-0,821;-0,542;0,00015;-0,00007
BSCL2;ENSG00000168000;MNC;11;62457747;62477317;-1;4;0,31;17591;0,06;-;0,16;-0,603;0,344;-0,00031;-0,00019
COCH;ENSG00000100473;MNC;14;31343720;31364271;1;-;-;-;0;0,05;0,07;1,731;0,203;-0,00033;-0,0001
BCKDHA;ENSG00000248098;MNC;19;41856758;41930910;1;-;-;-;0,12;-;-;1,072;1,663;0,00003;-0,00008
NEU1;ENSG00000204386;MNC;6;31825436;31830683;-1;4;0,25;10747,46;0;0,14;0,15;-0,808;-1,065;0,00013;0,00008
VWF;ENSG00000110799;MNC;12;6058040;6233936;-1;7;0,26;3545,47;0,2;0,26;0,13;-0,2;0,734;-0,00028;-0,0008
SH3TC2;ENSG00000169247;MNC;5;148303202;148442726;-1;-;-;-;0,16;0,19;0,19;-0,659;0,747;0,00005;-0,00005
TRPM6;ENSG00000119121;MNC;9;77337411;77503010;-1;-;-;-;0,22;0,32;0,23;-0,618;-0,132;0,00012;-0,0001
RLBP1;ENSG00000140522;MNC;15;89753100;89764982;-1;1;1;0;0,23;0,04;0,06;-0,728;1,921;-0,00001;0,00005
PFKM;ENSG00000152556;MNC;12;48498922;48540187;1;6;0,28;12274,69;0;0,18;0,02;-0,194;-0,079;0,00005;0,00015
HTRA2;ENSG00000115317;MNC;2;74756504;74760472;1;7;0,27;1039,2;0,42;0,13;0,3;-0,891;-1,686;0,00017;-0,00012
BAAT;ENSG00000136881;MNC;9;104122699;104145801;-1;1;0,19;0;1,24;1,41;0,38;-0,159;0,332;-0,00153;-0,00043
CP;ENSG00000047457;MNC;3;148880197;148939842;-1;1;0,2;0;0,23;0,29;0,18;-1,468;-1,081;-0,00012;-0,0005
HFE;ENSG00000010704;MNC;6;26087509;26098571;1;2;0,19;56,92;0;0,43;0,23;0,101;0,254;0,00008;0,0002
NDUFS1;ENSG00000023228;MNC;2;206986149;207024327;-1;3;0,31;864,88;0,11;0,4;0,08;-0,055;1,055;0,00027;0,00011
ABAT;ENSG00000183044;MNC;16;8768422;8878432;1;1;1;0;0,45;-;0,07;0,613;0,447;-0,00022;-0,00051
PLG;ENSG00000122194;MNC;6;161123270;161174338;1;18;0,26;52477,16;0,42;0,47;0,16;1,402;1,717;-0,00007;-0,00004
HBA1;ENSG00000206172;MNC;16;226679;227521;1;4;0,25;6407,04;-;-;-;-1,214;-1,238;0,00006;-0,00024
CYP1B1;ENSG00000138061;MNC;2;38294116;38337044;-1;1;0,21;0;0,74;0,25;0,13;0,419;0,692;-0,00011;-0,00042
GJB6;ENSG00000121742;MNC;13;20796110;20806534;-1;-;-;-;0;0,1;0,02;-1,414;0,164;-0,00095;-0,00035
AGA;ENSG00000038002;MNC;4;178351924;178363657;-1;1;0;0;0,15;0,84;0,23;-1,362;0,633;0,00004;-0,00008
MEN1;ENSG00000133895;MNC;11;64570982;64578766;-1;38;0,34;38425,21;0,12;0,45;0,03;0,182;0,014;0,00016;0,00012
ASAH1;ENSG00000104763;MNC;8;17913934;17942494;-1;2;0,24;0;0,52;0,46;0,24;-0,022;1,375;-0,00147;-0,0006
AMN;ENSG00000166126;MNC;14;103388993;103399933;1;-;-;-;0,49;-;0,23;0,789;-0,259;0,00002;-0,00029
APOC2;ENSG00000234906;MNC;19;45450460;45452822;1;-;-;-;-;-;-;1,845;2,82;-0,00008;0,00015
PLN;ENSG00000198523;MNC;6;118869461;118881893;1;4;0,24;4952,3;-;-;0,01;0,138;0,854;0,00006;-0,00006
PKLR;ENSG00000143627;MNC;1;155259630;155271225;-1;7;0,26;3100,26;0,96;0,1;0,08;-0,372;-0,072;0,00032;-0,00014
ALX4;ENSG00000052850;MNC;11;44281994;44331716;-1;10;0,23;6647,56;0,26;0,04;0,06;0,611;0,671;0,00011;-0,00002
GLUD1;ENSG00000148672;MNC;10;88810243;88854623;-1;-;-;-;0,32;-;-;-0,021;0,28;0,00004;0
EFHC1;ENSG00000096093;MNC;6;52285106;52387892;1;2;0,21;8796;0,23;0,16;0,12;-0,181;-0,102;0,0005;0,00022
MYO15A;ENSG00000091536;MNC;17;18012020;18083116;1;2;0,23;63,6;0,19;0,24;0,11;0,43;0,436;0,00005;0,00001
KRT13;ENSG00000171401;MNC;17;39657233;39661957;-1;1;0,25;0;0,03;-;0,15;-0,823;-0,294;-0,00079;-0,00095
SFTPC;ENSG00000168484;MNC;8;22014426;22021992;1;-;-;-;-;0,26;0,11;0,349;0,319;0,00046;0,00003
ZAP70;ENSG00000115085;MNC;2;98330023;98356325;1;31;0,32;48742,98;0,03;0,05;0,03;1,076;0,933;0,00029;-0,00002
POR;ENSG00000127948;MNC;7;75528518;75616173;1;5;0,23;26624,52;0,03;0,02;0,03;0,258;-0,168;-0,00009;-0,00002
MKKS;ENSG00000125863;MNC;20;10385832;10414870;-1;4;0,24;1458,65;0,95;0,27;0,32;-1,497;-0,194;-0,0004;-0,00091
CASR;ENSG00000036828;MNC;3;121902530;122005342;1;6;0,31;1441,83;0,12;0,07;0,04;0,209;1,06;0,00026;-0,00007
SLC7A7;ENSG00000155465;MNC;14;23242431;23299029;-1;1;0,23;0;0;0,15;0,11;2,037;1,184;-0,00067;-0,0004
ALS2;ENSG00000003393;MNC;2;202565277;202645912;-1;-;-;-;0,12;-;0,08;-0,608;0,004;-0,00034;-0,00046
CRLF1;ENSG00000006016;MNC;19;18683030;18718551;-1;1;0,17;0;0,03;0,04;0,04;0,396;1,528;0,00023;0,00018
WISP3;ENSG00000112761;MNC;6;112375275;112392171;1;-;-;-;0,17;0,25;0,24;0,903;0,783;-0,00086;-0,0001
ENPP1;ENSG00000197594;MNC;6;132129156;132216295;1;2;0,25;64,99;0,63;0,19;0,19;-1,45;-0,741;-0,002;-0,00072
KRT3;ENSG00000186442;MNC;12;53183469;53189901;-1;-;-;-;0,18;0,22;-;-0,615;-0,037;-0,00032;-0,00026
CAPN3;ENSG00000092529;MNC;15;42640301;42704516;1;-;-;-;0,36;0,15;0,07;-1,163;-0,904;-0,00089;-0,00056
MGAT2;ENSG00000168282;MNC;14;50087489;50090198;1;-;-;-;-;-;0,15;-1,213;1,187;-0,00003;-0,00006
GP9;ENSG00000169704;MNC;3;128779610;128781249;1;-;-;-;0,12;0,1;0,17;-0,969;-1,639;0,00001;-0,00035
CHRND;ENSG00000135902;MNC;2;233390703;233401377;1;1;0,17;0;0,46;0,06;0,08;-0,527;0,468;-0,00016;-0,00017
CLN8;ENSG00000182372;MNC;8;1703944;1734738;1;-;-;-;0,29;0,17;0,1;0,991;1,648;0,00022;-0,00004
HPS6;ENSG00000166189;MNC;10;103825147;103827792;1;1;0,23;0;0,23;0,22;0,22;-1,235;-1,343;0,00017;-0,00009
SLC25A20;ENSG00000178537;MNC;3;48894369;48936426;-1;-;-;-;0;0,09;0,1;-0,969;-0,104;0,00001;-0,00001
PRF1;ENSG00000180644;MNC;10;72357104;72362531;-1;1;0,22;0;0,24;0,21;0,23;-0,774;0,422;0,00036;0,00021
DES;ENSG00000175084;MNC;2;220283099;220291461;1;7;0,25;16238,45;0;0,02;0,02;0,758;0,832;-0,00003;-0,00004
RHO;ENSG00000163914;MNC;3;129247483;129254012;1;6;0,31;14174,85;0;0,04;0,02;-0,482;-1,004;-0,00074;-0,00039
LRP5;ENSG00000162337;MNC;11;68080077;68216743;1;3;0,24;396,44;0,06;0,11;0,02;-1,346;-0,213;0,00007;-0,00022
FGA;ENSG00000171560;MNC;4;155504278;155511918;-1;12;0,25;18065,08;1,22;0,57;0,27;-0,031;-0,173;0,00017;0,00004
SPTB;ENSG00000070182;MNC;14;65213002;65346601;-1;5;0,24;1143,8;0,16;0,12;0,06;-0,88;-0,72;-0,00056;-0,00085
SCN1A;ENSG00000144285;MNC;2;166845670;166930149;-1;1;0,22;0;0,04;0,05;0,02;-0,425;0,793;0,00014;-0,00062
FGG;ENSG00000171557;MNC;4;155525286;155534119;-1;5;0,23;5841,2;0,2;0,37;0,13;-0,974;-0,256;0,00015;0,00006
PRX;ENSG00000105227;MNC;19;40899675;40919273;-1;4;0,24;824,51;0,54;0,22;0,16;-0,907;-0,974;0,00013;-0,00009
CTSD;ENSG00000117984;MNC;11;1773982;1785222;-1;2;0,25;1152,01;-;0,11;-;0,035;-0,537;-0,00072;-0,00064
KRT6A;ENSG00000205420;MNC;12;52880958;52887041;-1;4;0,24;283,99;0,03;0,05;-;1,837;2,426;-0,0001;0,00025
NAGA;ENSG00000198951;MNC;22;42454358;42466846;-1;-;-;-;0,28;0,11;0,12;0,168;0,917;0,00018;-0,00006
TJP2;ENSG00000119139;MNC;9;71736224;71870124;1;17;0,29;28222,53;0,22;0,29;0,11;-0,738;0,854;0,00026;0,00025
DPM1;ENSG00000000419;MNC;20;49551404;49575092;-1;4;0,26;26841,74;0,23;0,43;-;-0,969;-1,01;0,00001;0,00004
NEB;ENSG00000183091;MNC;2;152341850;152591001;-1;6;0,26;22297,72;0,12;-;0,06;-0,605;-0,196;-0,00011;-0,00011
FANCC;ENSG00000158169;MNC;9;97861336;98079991;-1;30;0,29;58508,46;0,41;0,51;0,49;0,747;-0,589;0,00005;0,00005
LGI1;ENSG00000108231;MNC;10;95517566;95557916;1;2;0,22;0;0,26;0;0,04;-;0,338;-;-0,0004
SI;ENSG00000090402;MNC;3;164696686;164796283;-1;-;-;-;0,13;0,43;0,16;-0,718;1,135;-0,00013;-0,00025
FMO3;ENSG00000007933;MNC;1;171060018;171086959;1;-;-;-;0,13;0,44;0,24;0,235;0,279;0,00016;-0,00049
COL6A2;ENSG00000142173;MNC;21;47518011;47552763;1;-;-;-;0,02;0,13;0,06;-0,366;0,575;-0,00084;-0,00013
QDPR;ENSG00000151552;MNC;4;17461884;17513857;-1;1;0,18;0;2,06;0,19;0,06;1,845;0,876;0,00024;-0,0003
FBLN5;ENSG00000140092;MNC;14;92335756;92414331;-1;3;0,21;8796;0;0,04;0,06;-0,131;0,147;0,0001;-0,00008
CACNA1A;ENSG00000141837;MNC;19;13317256;13734804;-1;4;0,23;1791,44;0,17;0,29;0,05;0,034;0,403;0,00011;-0,00053
C6;ENSG00000039537;MNC;5;41142336;41261540;-1;1;0,17;0;0,61;0,32;0,28;-0,526;0,092;0,00015;0,00021
EPM2A;ENSG00000112425;MNC;6;145822719;146057160;-1;7;0,31;12393,99;0,06;0,08;0,09;0,604;1,29;0,00015;0,00004
LMNA;ENSG00000160789;MNC;1;156052364;156109880;1;24;0,3;53693,16;0,04;0,01;0,02;-1,024;-1,122;-0,00192;-0,00102
AUH;ENSG00000148090;MNC;9;93976097;94124195;-1;1;0;0;0,45;0,1;0,05;-0,024;-1,106;-0,00009;-0,00027
KRT16;ENSG00000186832;MNC;17;39766030;39772151;-1;1;0,23;0;0,08;0,07;0,11;-0,712;1,41;0,00011;0,00008
GJB4;ENSG00000189433;MNC;1;35225342;35229325;1;-;-;-;0,36;0,1;0,09;-1,697;0,255;-0,00009;-0,00039
AMACR;ENSG00000242110;MNC;5;33986283;34008220;-1;-;-;-;-;0,56;0,26;1,224;0,93;0,00013;-0,00024
LPL;ENSG00000175445;MNC;8;19759228;19824769;1;12;0,28;14246,79;0,05;0,46;0,08;0,077;-0,742;-0,00127;-0,00107
COL9A2;ENSG00000049089;MNC;1;40766159;40783488;-1;3;0,23;373,81;-;0,67;0,15;-0,677;-0,94;-0,00046;-0,00041
NTRK1;ENSG00000198400;MNC;1;156785432;156851642;1;21;0,32;33606,2;0,09;0,05;0,12;0,07;-0,682;-0,00003;-0,00053
NCF1;ENSG00000158517;MNC;7;74188309;74203659;1;15;0,28;7899,27;0,04;0,09;0,07;0,84;0,163;0,00008;-0,00014
SCNN1G;ENSG00000166828;MNC;16;23194036;23228204;1;8;0,31;8415,05;0,09;0,07;0,1;1,659;1,604;-0,00005;-0,00048
ATP7B;ENSG00000123191;MNC;13;52506809;52585630;-1;3;0,2;5153,79;0,6;0,22;0,18;0,086;0,481;0,00009;-0,00005
IVD;ENSG00000128928;MNC;15;40697686;40728146;1;1;0,25;0;0,39;0,17;0,09;1,897;1,401;-0,00001;0,00025
KRT1;ENSG00000167768;MNC;12;53068520;53074191;-1;10;0,26;13686,8;-;0,1;0,16;-0,435;-0,163;0,00023;0,00015
ABCG5;ENSG00000138075;MNC;2;44039611;44066004;-1;1;1;0;0,25;0,47;0,17;-0,172;1,04;-0,00051;-0,00029
SCN4A;ENSG00000007314;MNC;17;62015914;62050278;-1;1;0,22;0;0,03;0,07;0,04;-0,754;0,174;0,00007;-0,00029
PYGM;ENSG00000068976;MNC;11;64513861;64527769;-1;4;0,23;1206,23;0,16;0,02;0,02;-2,063;-1,681;-0,00022;-0,00018
PSTPIP1;ENSG00000140368;MNC;15;77285700;77329673;1;31;0,28;30651,64;0,08;0,2;0,06;-1,041;-0,114;0,00013;-0,00015
ALDOB;ENSG00000136872;MNC;9;104182860;104198105;-1;1;0,21;0;0,25;0,08;0,06;-0,132;0,208;0,00054;0,00019
CYP11B2;ENSG00000179142;MNC;8;143991975;143999259;-1;-;-;-;0,22;0,13;-;1,757;2,157;0,00016;0,00005
GJA1;ENSG00000152661;MNC;6;121756838;121770873;1;14;0,31;30824,93;0,11;0,06;0,02;-1,264;-0,45;0,00013;-0,00033
MFN2;ENSG00000116688;MNC;1;12040238;12073571;1;2;0,25;641,49;0,07;0,28;0,05;0,217;0,567;0,0001;-0,00028
UROS;ENSG00000188690;MNC;10;127477146;127511817;-1;-;-;-;0,19;0,14;0,23;2,391;1,519;-0,0001;0,00003
NPR2;ENSG00000159899;MNC;9;35792151;35809729;1;3;0,21;4549,64;0,14;0,03;0,02;0,316;0,022;-0,00052;-0,00014
ENO3;ENSG00000108515;MNC;17;4851387;4860426;1;1;0,22;0;-;-;0,02;2,179;-0,705;-0,00031;-0,00004
MCCC2;ENSG00000131844;MNC;5;70883115;70954531;1;2;0,26;0;0,38;0,42;0,09;0,269;1,091;0,00001;-0,00014
EDNRB;ENSG00000136160;MNC;13;78469616;78493903;-1;5;0,31;7723,81;0,36;0,22;0,13;-1,313;-0,503;0,00005;-0,00003
PHOX2B;ENSG00000109132;MNC;4;41746099;41750987;-1;-;-;-;0;0;0;0,003;-0,063;-0,00037;-0,00008
TBX19;ENSG00000143178;MNC;1;168250278;168283664;1;-;-;-;0,05;0,15;0,1;-0,874;-0,133;-0,00001;-0,00043
SURF1;ENSG00000148290;MNC;9;136218610;136223552;-1;-;-;-;0,57;0,26;0,2;-0,481;-0,617;0,00037;-0,00007
MYLK2;ENSG00000101306;MNC;20;30407111;30422492;1;1;0,22;0;0,28;0,41;0,18;-1,617;0,113;-0,00032;-0,0003
LHCGR;ENSG00000138039;MNC;2;48859428;48982880;-1;3;0,25;1845,62;-;-;-;-0,536;0,596;0,00024;-0,00045
KHK;ENSG00000138030;MNC;2;27309615;27323640;1;10;0,26;25344,14;0,13;0,15;0,21;-0,704;-0,159;0,00009;0
EXT1;ENSG00000182197;MNC;8;118806729;119124092;-1;5;0,24;1320,43;0,35;0,02;0,02;0,269;0,344;-0,00009;-0,00031
CSTB;ENSG00000160213;MNC;21;45192393;45196326;-1;4;0,26;8205;0,2;0,17;0,08;-1,538;-0,102;-0,00043;-0,00018
WNK4;ENSG00000126562;MNC;17;40932696;40948954;1;1;0,2;0;0,25;0,38;0,14;-2,079;-2,098;0,00003;-0,00002
PKD2;ENSG00000118762;MNC;4;88928820;88998929;1;4;0,24;353,77;0,1;0,15;0,08;-0,932;-0,733;-0,00052;-0,00056
RP9;ENSG00000164610;MNC;7;33134409;33149013;-1;1;0,21;0;0,06;0,14;0,06;0,242;1,267;0,00021;-0,00002
SERPINI1;ENSG00000163536;MNC;3;167453031;167543356;1;1;0,22;0;0,33;0,21;0,11;0,113;0,273;-0,00074;-0,00051
LIFR;ENSG00000113594;MNC;5;38475065;38608456;-1;5;0,25;17692,19;0,3;0,33;0,2;0,544;-0,046;0,00015;0,00003
FANCD2;ENSG00000144554;MNC;3;10068098;10143614;1;28;0,32;23509,72;0,21;-;0,33;-0,32;-0,15;-0,00042;-0,00067
EDARADD;ENSG00000186197;MNC;1;236511562;236648214;1;2;0,25;8796;0,16;0,28;0,24;0,753;1,455;-0,00001;-0,00022
C1R;ENSG00000159403;MNC;12;7187513;7245203;-1;4;0,19;67,77;0,26;0,39;-;0,553;-0,094;-0,00007;-0,00016
CHST6;ENSG00000183196;MNC;16;75510949;75529282;-1;-;-;-;0,17;0,11;-;-0,86;-0,131;0,00009;-0,00017
HLCS;ENSG00000159267;MNC;21;38123493;38362536;-1;-;-;-;0,23;0,21;0,18;0,228;1,074;-0,00026;-0,00015
SLC2A1;ENSG00000117394;MNC;1;43391052;43424530;-1;7;0,27;4532,4;0,4;0,03;0,02;0,969;0,604;0,00008;-0,00027
ALOX12B;ENSG00000179477;MNC;17;7975954;7991021;-1;-;-;-;0,08;0,04;0,09;-0,514;0,773;-0,00015;0,00001
MPO;ENSG00000005381;MNC;17;56347217;56358296;-1;-;-;-;0,16;0,15;0,11;-2,025;-1,062;0,00009;-0,00018
IL12RB1;ENSG00000096996;MNC;19;18169805;18209759;-1;2;0,57;0;0,37;0,27;0,3;1,171;1,278;0,00019;-0,00005
ACADS;ENSG00000122971;MNC;12;121163538;121177811;1;-;-;-;0,08;0,04;0,07;0,644;0,211;-0,00028;-0,0001
CYP11B1;ENSG00000160882;MNC;8;143953772;143961262;-1;-;-;-;0,11;0,09;-;1,151;1,251;0,00004;0,00002
MYOC;ENSG00000034971;MNC;1;171604557;171621811;-1;3;0,22;9600,79;0,26;0,16;0,16;-1,219;0,651;0,00014;-0,00003
BBS2;ENSG00000125124;MNC;16;56500748;56554195;-1;1;0,24;0;0,2;0,25;0,12;-0,74;-0,71;-0,00085;-0,00034
CTSC;ENSG00000109861;MNC;11;88026760;88070955;-1;-;-;-;0,52;0,34;0,25;0,912;0,921;-0,00028;0,00018
PON1;ENSG00000005421;MNC;7;94926988;95025673;-1;-;-;-;0,38;0,37;0,2;0,456;-0,678;-0,00042;-0,0007
TOR1A;ENSG00000136827;MNC;9;132575223;132586413;-1;7;0,27;1146,78;0,09;0,28;0,06;0,567;0,727;-0,00035;-0,00028
PANK2;ENSG00000125779;MNC;20;3869486;3907605;1;6;0,26;1602,41;0,52;0,55;0,16;0,523;1,191;0,00017;0,00014
CLCN1;ENSG00000188037;MNC;7;143013219;143049176;1;-;-;-;0,15;-;0,13;-0,103;0,598;0,00008;0,00006
ERCC6;ENSG00000225830;MNC;10;50663414;50747584;-1;19;0,32;12857,04;0,32;0,2;0,26;-0,564;-0,22;0,00042;0,00022
UMPS;ENSG00000114491;MNC;3;124449213;124464040;1;2;0,21;84,13;1,33;0,28;0,1;1,043;1,283;0,00039;0,00004
GH1;ENSG00000259384;MNC;17;61994560;61996179;-1;-;-;-;0,21;-;-;-1,321;-0,19;0,00011;-0,00014
DNAI1;ENSG00000122735;MNC;9;34457412;34520982;1;-;-;-;0,41;0,33;0,12;-0,268;-0,346;0,00019;0,00011
PINK1;ENSG00000158828;MNC;1;20959948;20978004;1;1;0,25;0;0,15;-;0,19;2,055;1,83;0,00083;0,00045
VKORC1;ENSG00000167397;MNC;16;31102163;31107301;-1;-;-;-;0;-;-;0,666;0,754;0,00018;0,00009
AGPS;ENSG00000018510;MNC;2;178257372;178408564;1;2;0,21;8796;0,06;0,36;0,16;-0,989;-0,103;-0,00025;-0,00031
KIF21A;ENSG00000139116;MNC;12;39687030;39837192;-1;-;-;-;-;0,15;0,04;-1,439;-1,247;-0,0001;-0,00024
ABCA12;ENSG00000144452;MNC;2;215796266;216003151;-1;-;-;-;0,35;0,2;0,11;-0,361;-0,296;0,0001;-0,00045
GDAP1;ENSG00000104381;MNC;8;75233365;75401107;1;2;0,24;612,52;0,15;0,29;0,13;0,268;0,815;0,0004;0,00002
