Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
"C9orf72","Chromosome 9 Open Reading Frame 72","Protein Coding","47","GC09M027539","24.39","https://www.genecards.org/cgi-bin/carddisp.pl?gene=C9orf72"
"PINK1","PTEN Induced Putative Kinase 1","Protein Coding","55","GC01P020634","24.3","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PINK1"
"HLA-DRB1","Major Histocompatibility Complex, Class II, DR Beta 1","Protein Coding","52","GC06M032578","24.22","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-DRB1"
"RET","Ret Proto-Oncogene","Protein Coding","60","GC10P043040","24.09","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RET"
"MAPK8","Mitogen-Activated Protein Kinase 8","Protein Coding","56","GC10P048306","24","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK8"
"GAA","Glucosidase Alpha, Acid","Protein Coding","54","GC17P080101","23.84","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GAA"
"PLP1","Proteolipid Protein 1","Protein Coding","49","GC0XP103773","23.83","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLP1"
"NQO1","NAD(P)H Quinone Dehydrogenase 1","Protein Coding","56","GC16M069706","23.77","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NQO1"
"CASP9","Caspase 9","Protein Coding","55","GC01M015565","23.67","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP9"
"MAPK3","Mitogen-Activated Protein Kinase 3","Protein Coding","56","GC16M030125","23.63","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK3"
"NDUFS4","NADH:Ubiquinone Oxidoreductase Subunit S4","Protein Coding","49","GC05P053560","23.59","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDUFS4"
"VWF","Von Willebrand Factor","Protein Coding","55","GC12M005917","23.56","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VWF"
"APLP2","Amyloid Beta Precursor Like Protein 2","Protein Coding","49","GC11P130069","23.56","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APLP2"
"UBQLN1","Ubiquilin 1","Protein Coding","49","GC09M083659","23.49","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBQLN1"
"EGF","Epidermal Growth Factor","Protein Coding","59","GC04P109912","23.44","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EGF"
"CRP","C-Reactive Protein","Protein Coding","53","GC01M159682","23.34","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRP"
"EIF2AK2","Eukaryotic Translation Initiation Factor 2 Alpha Kinase 2","Protein Coding","52","GC02M037073","23.23","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF2AK2"
"APOC1","Apolipoprotein C1","Protein Coding","47","GC19P044914","23.1","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOC1"
"CP","Ceruloplasmin","Protein Coding","54","GC03M149162","22.98","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CP"
"CREB1","CAMP Responsive Element Binding Protein 1","Protein Coding","55","GC02P207529","22.96","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CREB1"
"F2","Coagulation Factor II, Thrombin","Protein Coding","55","GC11P046740","22.92","https://www.genecards.org/cgi-bin/carddisp.pl?gene=F2"
"CYP46A1","Cytochrome P450 Family 46 Subfamily A Member 1","Protein Coding","49","GC14P099684","22.92","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP46A1"
"APH1A","Aph-1 Homolog A, Gamma-Secretase Subunit","Protein Coding","49","GC01M150265","22.86","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APH1A"
"NGFR","Nerve Growth Factor Receptor","Protein Coding","52","GC17P049495","22.82","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NGFR"
"ATP13A2","ATPase Cation Transporting 13A2","Protein Coding","48","GC01M016985","22.78","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP13A2"
"MAP2","Microtubule Associated Protein 2","Protein Coding","50","GC02P209424","22.75","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP2"
"CDKN2B-AS1","CDKN2B Antisense RNA 1","RNA Gene","20","GC09P021994","22.5","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN2B-AS1"
"SOD2","Superoxide Dismutase 2","Protein Coding","56","GC06M159669","22.49","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOD2"
"COL4A1","Collagen Type IV Alpha 1 Chain","Protein Coding","53","GC13M110148","22.42","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL4A1"
"CDKN1B","Cyclin Dependent Kinase Inhibitor 1B","Protein Coding","56","GC12P012716","22.41","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN1B"
"CETP","Cholesteryl Ester Transfer Protein","Protein Coding","53","GC16P056996","22.38","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CETP"
"LMNA","Lamin A/C","Protein Coding","54","GC01P156082","22.36","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LMNA"
"NPC2","NPC Intracellular Cholesterol Transporter 2","Protein Coding","49","GC14M074476","22.35","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NPC2"
"MT3","Metallothionein 3","Protein Coding","46","GC16P056589","22.31","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT3"
"APBA1","Amyloid Beta Precursor Protein Binding Family A Member 1","Protein Coding","44","GC09M069427","22.04","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APBA1"
"ATP2A2","ATPase Sarcoplasmic/Endoplasmic Reticulum Ca2+ Transporting 2","Protein Coding","57","GC12P110280","22.01","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP2A2"
"CCL2","C-C Motif Chemokine Ligand 2","Protein Coding","55","GC17P034255","21.93","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL2"
"SNCG","Synuclein Gamma","Protein Coding","49","GC10P086957","21.92","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNCG"
"TLR4","Toll Like Receptor 4","Protein Coding","59","GC09P117704","21.8","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLR4"
"BPTF","Bromodomain PHD Finger Transcription Factor","Protein Coding","45","GC17P067825","21.78","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BPTF"
"NOTCH3","Notch 3","Protein Coding","56","GC19M015131","21.78","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOTCH3"
"SLC18A2","Solute Carrier Family 18 Member A2","Protein Coding","51","GC10P117241","21.72","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC18A2"
"APBA2","Amyloid Beta Precursor Protein Binding Family A Member 2","Protein Coding","49","GC15P028888","21.66","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APBA2"
"CASP7","Caspase 7","Protein Coding","57","GC10P113679","21.62","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP7"
"CASP2","Caspase 2","Protein Coding","55","GC07P143966","21.46","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP2"
"SLC1A2","Solute Carrier Family 1 Member 2","Protein Coding","57","GC11M035272","21.33","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC1A2"
"ABCA4","ATP Binding Cassette Subfamily A Member 4","Protein Coding","50","GC01M093992","21.23","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCA4"
"PKD1","Polycystin 1, Transient Receptor Potential Channel Interacting","Protein Coding","52","GC16M002097","21.19","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PKD1"
"PON1","Paraoxonase 1","Protein Coding","53","GC07M095297","21.17","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PON1"
"PITRM1","Pitrilysin Metallopeptidase 1","Protein Coding","44","GC10M003179","21.16","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PITRM1"
"TFCP2","Transcription Factor CP2","Protein Coding","46","GC12M051093","21.13","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TFCP2"
"MPZ","Myelin Protein Zero","Protein Coding","50","GC01M161304","21.12","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MPZ"
"TH","Tyrosine Hydroxylase","Protein Coding","59","GC11M002163","21.07","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TH"
"RCAN1","Regulator Of Calcineurin 1","Protein Coding","50","GC21M034513","21.06","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RCAN1"
"CD40LG","CD40 Ligand","Protein Coding","55","GC0XP136649","21.05","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD40LG"
"FRMD4A","FERM Domain Containing 4A","Protein Coding","43","GC10M013685","20.96","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FRMD4A"
"TOMM40","Translocase Of Outer Mitochondrial Membrane 40","Protein Coding","45","GC19P044890","20.95","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TOMM40"
"ATXN3","Ataxin 3","Protein Coding","50","GC14M092156","20.94","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATXN3"
"APBA3","Amyloid Beta Precursor Protein Binding Family A Member 3","Protein Coding","45","GC19M003750","20.87","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APBA3"
"DBN1","Drebrin 1","Protein Coding","45","GC05M177456","20.71","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DBN1"
"VPS26A","VPS26, Retromer Complex Component A","Protein Coding","46","GC10P069123","20.67","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VPS26A"
"APOA1","Apolipoprotein A1","Protein Coding","56","GC11M116835","20.62","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOA1"
"HTRA1","HtrA Serine Peptidase 1","Protein Coding","50","GC10P122461","20.59","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HTRA1"
"MAOA","Monoamine Oxidase A","Protein Coding","54","GC0XP043654","20.53","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAOA"
"STH","Saitohin","Protein Coding","34","GC17P045999","20.53","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STH"
"PHYH","Phytanoyl-CoA 2-Hydroxylase","Protein Coding","50","GC10M013277","20.49","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PHYH"
"JAG1","Jagged 1","Protein Coding","57","GC20M010637","20.4","https://www.genecards.org/cgi-bin/carddisp.pl?gene=JAG1"
"CLSTN1","Calsyntenin 1","Protein Coding","45","GC01M009789","20.32","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLSTN1"
"DOCK3","Dedicator Of Cytokinesis 3","Protein Coding","46","GC03P050712","20.13","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DOCK3"
"SST","Somatostatin","Protein Coding","49","GC03M187668","20.12","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SST"
"GRIN2C","Glutamate Ionotropic Receptor NMDA Type Subunit 2C","Protein Coding","51","GC17M074842","20.1","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRIN2C"
"CAPN2","Calpain 2","Protein Coding","54","GC01P223701","20.02","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAPN2"
"ESR1","Estrogen Receptor 1","Protein Coding","62","GC06P151656","20.01","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ESR1"
"MARK1","Microtubule Affinity Regulating Kinase 1","Protein Coding","46","GC01P220528","19.99","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MARK1"
"APLP1","Amyloid Beta Precursor Like Protein 1","Protein Coding","47","GC19P036751","19.81","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APLP1"
"GRK2","G Protein-Coupled Receptor Kinase 2","Protein Coding","40","GC11P067266","19.79","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRK2"
"ALB","Albumin","Protein Coding","57","GC04P073397","19.78","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALB"
"PTPA","Protein Phosphatase 2 Phosphatase Activator","Protein Coding","38","GC09P129111","19.76","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTPA"
"NAE1","NEDD8 Activating Enzyme E1 Subunit 1","Protein Coding","48","GC16M066836","19.75","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NAE1"
"VSNL1","Visinin Like 1","Protein Coding","48","GC02P017539","19.74","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VSNL1"
"HCRT","Hypocretin Neuropeptide Precursor","Protein Coding","48","GC17M042185","19.68","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HCRT"
"MARK4","Microtubule Affinity Regulating Kinase 4","Protein Coding","49","GC19P045079","19.65","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MARK4"
"APOB","Apolipoprotein B","Protein Coding","52","GC02M020956","19.64","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOB"
"NRGN","Neurogranin","Protein Coding","45","GC11P124739","19.54","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NRGN"
"DRD3","Dopamine Receptor D3","Protein Coding","50","GC03M114128","19.54","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DRD3"
"FUS","FUS RNA Binding Protein","Protein Coding","51","GC16P031265","19.53","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FUS"
"DNMBP","Dynamin Binding Protein","Protein Coding","43","GC10M099875","19.46","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNMBP"
"SLC2A1","Solute Carrier Family 2 Member 1","Protein Coding","59","GC01M042925","19.42","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC2A1"
"IGF1","Insulin Like Growth Factor 1","Protein Coding","56","GC12M102395","19.39","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGF1"
"CIB1","Calcium And Integrin Binding 1","Protein Coding","47","GC15M090229","19.37","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CIB1"
"APBB3","Amyloid Beta Precursor Protein Binding Family B Member 3","Protein Coding","42","GC05M140558","19.32","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APBB3"
"GJB1","Gap Junction Protein Beta 1","Protein Coding","54","GC0XP071215","19.32","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GJB1"
"APAF1","Apoptotic Peptidase Activating Factor 1","Protein Coding","54","GC12P098645","19.29","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APAF1"
"GATA1","GATA Binding Protein 1","Protein Coding","53","GC0XP048786","19.26","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GATA1"
"GAP43","Growth Associated Protein 43","Protein Coding","48","GC03P115623","19.2","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GAP43"
"GSAP","Gamma-Secretase Activating Protein","Protein Coding","37","GC07M077310","19.09","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GSAP"
"DCHS2","Dachsous Cadherin-Related 2","Protein Coding","39","GC04M154232","19.06","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DCHS2"
"EXOC3L2","Exocyst Complex Component 3 Like 2","Protein Coding","38","GC19M045212","18.98","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EXOC3L2"
"RTN4","Reticulon 4","Protein Coding","52","GC02M054934","18.95","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RTN4"
"SLC30A6","Solute Carrier Family 30 Member 6","Protein Coding","44","GC02P032166","18.9","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC30A6"
"GPC1","Glypican 1","Protein Coding","50","GC02P240435","18.86","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPC1"
"TTBK1","Tau Tubulin Kinase 1","Protein Coding","41","GC06P043243","18.85","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TTBK1"
"GLRX","Glutaredoxin","Protein Coding","52","GC05M095752","18.84","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GLRX"
"C4A","Complement C4A (Rodgers Blood Group)","Protein Coding","47","GC06P032225","18.83","https://www.genecards.org/cgi-bin/carddisp.pl?gene=C4A"
"PLA2G6","Phospholipase A2 Group VI","Protein Coding","54","GC22M042359","18.7","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLA2G6"
"SLC17A5","Solute Carrier Family 17 Member 5","Protein Coding","51","GC06M073593","18.69","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC17A5"
"CXCL8","C-X-C Motif Chemokine Ligand 8","Protein Coding","45","GC04P073740","18.58","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL8"
"REG1A","Regenerating Family Member 1 Alpha","Protein Coding","48","GC02P079120","18.54","https://www.genecards.org/cgi-bin/carddisp.pl?gene=REG1A"
"IL1RN","Interleukin 1 Receptor Antagonist","Protein Coding","55","GC02P113612","18.54","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1RN"
"BACE1-AS","BACE1 Antisense RNA","RNA Gene","11","GC11P117290","18.51","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BACE1-AS"
"MEOX2","Mesenchyme Homeobox 2","Protein Coding","44","GC07M015617","18.5","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MEOX2"
"ERN1","Endoplasmic Reticulum To Nucleus Signaling 1","Protein Coding","52","GC17M064039","18.45","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERN1"
"NHLRC1","NHL Repeat Containing E3 Ubiquitin Protein Ligase 1","Protein Coding","46","GC06M018065","18.44","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NHLRC1"
"MAP1B","Microtubule Associated Protein 1B","Protein Coding","49","GC05P072107","18.43","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP1B"
"SMPD1","Sphingomyelin Phosphodiesterase 1","Protein Coding","55","GC11P006390","18.43","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMPD1"
"HLA-DQB1","Major Histocompatibility Complex, Class II, DQ Beta 1","Protein Coding","49","GC06M032629","18.42","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-DQB1"
"MMP9","Matrix Metallopeptidase 9","Protein Coding","60","GC20P046008","18.41","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP9"
"STMN2","Stathmin 2","Protein Coding","45","GC08P079610","18.4","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STMN2"
"STAT3","Signal Transducer And Activator Of Transcription 3","Protein Coding","59","GC17M042313","18.38","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAT3"
"PCSK1N","Proprotein Convertase Subtilisin/Kexin Type 1 Inhibitor","Protein Coding","40","GC0XM048831","18.34","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCSK1N"
"ACTC1","Actin, Alpha, Cardiac Muscle 1","Protein Coding","49","GC15M034788","18.34","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACTC1"
"DLST","Dihydrolipoamide S-Succinyltransferase","Protein Coding","50","GC14P074881","18.3","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DLST"
"RYR3","Ryanodine Receptor 3","Protein Coding","48","GC15P033310","18.22","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RYR3"
"EGFR","Epidermal Growth Factor Receptor","Protein Coding","62","GC07P055019","18.22","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EGFR"
"MALRD1","MAM And LDL Receptor Class A Domain Containing 1","Protein Coding","31","GC10P019048","18.21","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MALRD1"
"HTR6","5-Hydroxytryptamine Receptor 6","Protein Coding","50","GC01P019666","18.21","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HTR6"
"HLA-B","Major Histocompatibility Complex, Class I, B","Protein Coding","50","GC06M031277","18.18","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-B"
"GPR3","G Protein-Coupled Receptor 3","Protein Coding","44","GC01P027403","18.17","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPR3"
"ARSA","Arylsulfatase A","Protein Coding","53","GC22M050622","18.16","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARSA"
"TMED10","Transmembrane P24 Trafficking Protein 10","Protein Coding","50","GC14M075132","18.11","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMED10"
"SLC39A1","Solute Carrier Family 39 Member 1","Protein Coding","45","GC01M153931","18.09","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC39A1"
"TNFRSF11B","TNF Receptor Superfamily Member 11b","Protein Coding","54","GC08M118923","18.08","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFRSF11B"
"ICAM1","Intercellular Adhesion Molecule 1","Protein Coding","57","GC19P010270","18.08","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ICAM1"
"DRD4","Dopamine Receptor D4","Protein Coding","51","GC11P000659","18.05","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DRD4"
"OGG1","8-Oxoguanine DNA Glycosylase","Protein Coding","54","GC03P009751","18.03","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OGG1"
"KCNIP3","Potassium Voltage-Gated Channel Interacting Protein 3","Protein Coding","44","GC02P095326","18.03","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNIP3"
"SORCS3","Sortilin Related VPS10 Domain Containing Receptor 3","Protein Coding","42","GC10P104642","18.02","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SORCS3"
